epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2120.09,0.6253,2.27736,1.25323,0.55472,0.72298,0.62936,0.43003,0.48161,83.7668,0.78281,0.000331776,0.000331776,0.000331776
2,3545.06,0.70496,1.58491,1.29638,0.68312,0.73171,0.74121,0.48548,0.4985,41.7064,0.84404,0.00065194,0.00065194,0.00065194
3,4396.44,0.73664,1.37879,1.32895,0.64569,0.65297,0.67204,0.48414,0.4198,28.2396,0.70466,0.000958904,0.000958904,0.000958904
4,6197.99,0.73032,1.21409,1.3135,0.68266,0.69741,0.72954,0.51484,0.45769,12.3792,0.73585,0.0009406,0.0009406,0.0009406
5,7028.18,0.70655,1.15413,1.29725,0.73903,0.73212,0.73634,0.56042,0.41158,17.4473,0.70869,0.0009208,0.0009208,0.0009208
6,7900.39,0.64653,1.0417,1.24382,0.69792,0.80365,0.77814,0.60809,0.33621,18.0809,0.62977,0.000901,0.000901,0.000901
7,8731.17,0.62285,0.97876,1.23794,0.83094,0.77473,0.84682,0.679,0.35174,6.92416,0.63427,0.0008812,0.0008812,0.0008812
8,9556.69,0.59914,0.94364,1.21626,0.74077,0.66362,0.74795,0.55977,0.42581,3.82906,0.71163,0.0008614,0.0008614,0.0008614
9,10414.9,0.59468,0.89177,1.23101,0.84032,0.83305,0.8724,0.70178,0.34663,15.6144,0.6252,0.0008416,0.0008416,0.0008416
10,11242.5,0.57793,0.88625,1.20861,0.70816,0.78843,0.77084,0.6445,0.31632,54.7487,0.60762,0.0008218,0.0008218,0.0008218
11,12073.4,0.56836,0.82903,1.20033,0.68462,0.75664,0.78864,0.65511,0.30933,62.517,0.59211,0.000802,0.000802,0.000802
12,13473.7,0.53462,0.81199,1.18161,0.92728,0.89498,0.92823,0.79977,0.2656,7.90422,0.55089,0.0007822,0.0007822,0.0007822
13,14470,0.52856,0.77556,1.16779,0.79982,0.80974,0.86849,0.78188,0.24811,38.5163,0.53894,0.0007624,0.0007624,0.0007624
14,15868,0.51469,0.74618,1.16953,0.89154,0.82344,0.88991,0.77336,0.27871,19.9874,0.55068,0.0007426,0.0007426,0.0007426
15,17023.3,0.52396,0.74598,1.17062,0.93964,0.87671,0.93507,0.84149,0.22144,9.32,0.50918,0.0007228,0.0007228,0.0007228
16,17836,0.50621,0.72849,1.16498,0.91973,0.88944,0.93163,0.83856,0.23027,11.8428,0.51497,0.000703,0.000703,0.000703
17,18648.6,0.5076,0.73666,1.15812,0.75636,0.75495,0.79366,0.54892,0.463,2.63086,0.73633,0.0006832,0.0006832,0.0006832
18,19456.5,0.49446,0.70171,1.14736,0.93502,0.87605,0.92401,0.82413,0.23723,1.80033,0.52724,0.0006634,0.0006634,0.0006634
19,20270,0.48345,0.69437,1.149,0.87011,0.86149,0.88046,0.78919,0.22942,27.0703,0.51985,0.0006436,0.0006436,0.0006436
20,21078.9,0.47928,0.68751,1.14136,0.91228,0.88889,0.92119,0.84336,0.21932,10.2199,0.50968,0.0006238,0.0006238,0.0006238
21,22041.3,0.47648,0.67433,1.13909,0.94041,0.89193,0.93362,0.81993,0.25229,9.74264,0.53779,0.000604,0.000604,0.000604
22,23436.5,0.46185,0.65377,1.13181,0.7902,0.85992,0.87449,0.78846,0.22473,27.4454,0.51818,0.0005842,0.0005842,0.0005842
23,24414.2,0.47114,0.65497,1.14229,0.8813,0.89041,0.92007,0.82872,0.22543,5.0941,0.5119,0.0005644,0.0005644,0.0005644
24,25706.8,0.4601,0.64926,1.12566,0.84351,0.84504,0.87052,0.78019,0.22657,28.9755,0.50744,0.0005446,0.0005446,0.0005446
25,26517.7,0.45717,0.64203,1.12182,0.91985,0.87976,0.91627,0.82681,0.21759,2.97962,0.50457,0.0005248,0.0005248,0.0005248
26,27328.9,0.43632,0.62006,1.113,0.95656,0.90259,0.94402,0.86378,0.2115,2.43073,0.49705,0.000505,0.000505,0.000505
27,28133.5,0.43868,0.63355,1.11756,0.70166,0.84779,0.80064,0.74378,0.19916,94.9903,0.48999,0.0004852,0.0004852,0.0004852
28,28933.3,0.43385,0.59469,1.1052,0.97239,0.91146,0.9461,0.86778,0.2067,1.3869,0.49928,0.0004654,0.0004654,0.0004654
29,29734.8,0.41587,0.5868,1.09948,0.9353,0.8801,0.93089,0.84861,0.21835,0.53265,0.50666,0.0004456,0.0004456,0.0004456
